  [index] data.sqlite3  (1826 msgs, 37 chunks)
  [index] store.db  (18 msgs, 1 chunks)
  [index] store.db  (0 msgs, 0 chunks)
  [index] store.db  (8 msgs, 1 chunks)
  [index] store.db  (0 msgs, 0 chunks)
  [index] store.db  (13 msgs, 1 chunks)
  [index] store.db  (9 msgs, 1 chunks)
  [index] fce2a54f-6839-4e5f-92a3-61ec3fa90bc8.jsonl  (272 msgs, 6 chunks)
  [index] d12b425b-0db7-47ea-b782-6878c8019fe6.jsonl  (72 msgs, 2 chunks)
  [index] 5f69307e-f068-44bd-ab86-bc2bbb96e6b4.jsonl  (7 msgs, 1 chunks)
  [index] e5de6e24-20ca-49a7-b4ca-04de67c2f336.jsonl  (276 msgs, 6 chunks)
  [index] 1cce73c6-2979-4588-8282-4ad563c66ee7.jsonl  (14 msgs, 1 chunks)
  [index] 5999742f-1ad4-4f2e-948d-482577e853ae.jsonl  (17 msgs, 1 chunks)
  [index] 4bc6bd10-702e-4579-b63c-dc3eb35f688c.jsonl  (69 msgs, 2 chunks)
  [index] 6ee0deeb-e6b6-4391-9e2b-09b32b8d2600.jsonl  (2 msgs, 1 chunks)
  [index] 63eea28c-140b-48f2-979e-248edc216a9e.jsonl  (94 msgs, 2 chunks)
  [index] f6e52350-8d2f-4c0b-a767-68790aa03abc.jsonl  (104 msgs, 2 chunks)
  [index] b6098c8f-d1f5-4fc5-b778-31241dc87e6f.jsonl  (93 msgs, 2 chunks)
  [index] e19ad92a-11ed-4944-84a8-0ff06b05baf3.jsonl  (941 msgs, 19 chunks)
  [index] b2cd2bc5-4839-437f-be04-ac185e3a477e.jsonl  (5 msgs, 1 chunks)
  [index] d0d2b098-0dd4-40e8-a449-7b7f66916bc2.jsonl  (230 msgs, 5 chunks)
  [index] 98492ae9-77d1-4eac-9082-ca4e8cc942d6.jsonl  (3 msgs, 1 chunks)
  [index] 82c3f8d0-da2c-4b14-ad5a-838b094f104a.jsonl  (3 msgs, 1 chunks)
  [index] dfc67b08-e14c-41b2-a4e2-c81cbfadedc2.jsonl  (1 msgs, 1 chunks)
  [index] fce2a54f-6839-4e5f-92a3-61ec3fa90bc8.jsonl  (102 msgs, 2 chunks)
  [index] 48ae7f6f-5b77-4b25-98b8-3a8ca0b808a0.jsonl  (1 msgs, 1 chunks)
  [index] d7fa25cf-27f7-458e-9754-bdb0a6c053b2.jsonl  (40 msgs, 1 chunks)
  [skip] unchanged 992d7a06-2be3-4261-b2f3-83625d8e0529.jsonl
  [index] b6098c8f-d1f5-4fc5-b778-31241dc87e6f.jsonl  (99 msgs, 2 chunks)
